 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15
 1, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
 2, 32,  0, 17, 32, 32,  4, 21, 32, 32,  8, 25, 32, 32, 12, 29
 3, 32,  1, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
 4, 32, 32, 32,  0, 17, 18,  3, 32, 32, 32, 32,  8, 25, 26, 11
 5, 32, 32, 32,  1, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
 6, 32, 20, 32,  2, 32, 16, 17, 32, 32, 32, 32, 32, 32, 24, 25
 7, 32, 21, 32,  3, 32, 17, 32, 32, 32, 32, 32, 32, 32, 32, 32
 8, 32, 32, 32, 32, 32, 32, 32,  0, 17, 18,  3, 20,  5,  6, 23
 9, 32, 32, 32, 32, 32, 32, 32,  1, 32, 32, 32, 32, 32, 32, 32
10, 32, 24, 32, 32, 32, 32, 32,  2, 32, 16, 17, 32, 32,  4,  5
11, 32, 25, 32, 32, 32, 32, 32,  3, 32, 17, 32, 32, 32, 32, 32
12, 32, 32, 32, 24, 32, 32, 32,  4, 32, 32, 32, 16, 17, 18, 19
13, 32, 32, 32, 25, 32, 32, 32,  5, 32, 32, 32, 17, 32, 32, 32
14, 32, 12, 32, 26, 32, 24, 32,  6, 32,  4, 32, 18, 32, 16,  1
15, 32, 13, 32, 27, 32, 25, 32,  7, 32,  5, 32, 19, 32, 17, 32
