 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15
 1, 32,  3, 32,  5, 32,  7, 32,  9, 32, 11, 32, 13, 32, 15, 32
 2, 19, 32, 32,  6, 23, 32, 32, 10, 27, 32, 32, 14, 31, 32, 32
 3, 32, 32, 32,  7, 32, 32, 32, 11, 32, 32, 32, 15, 32, 32, 32
 4, 21, 22,  7, 32, 32, 32, 32, 12, 29, 30, 15, 32, 32, 32, 32
 5, 32, 23, 32, 32, 32, 32, 32, 13, 32, 31, 32, 32, 32, 32, 32
 6,  7, 32, 32, 32, 32, 32, 32, 14, 15, 32, 32, 32, 32, 32, 32
 7, 32, 32, 32, 32, 32, 32, 32, 15, 32, 32, 32, 32, 32, 32, 32
 8, 25, 26, 11, 28, 13, 14, 31, 32, 32, 32, 32, 32, 32, 32, 32
 9, 32, 27, 32, 29, 32, 15, 32, 32, 32, 32, 32, 32, 32, 32, 32
10, 11, 32, 32, 30, 31, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
11, 32, 32, 32, 31, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
12, 13, 14, 15, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
13, 32, 15, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
14, 31, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
15, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
